,_wpmbiasp,_wp5,_wp4,_wp1,_wp0,_wnmbiasp,_wnmbiasn,_wn8,_wn6,_wn4,_wn0,_nfpmbiasp,_nfp5,_nfp4,_nfp1,_nfp0,_nfnmbiasp,_nfnmbiasn,_nfn8,_nfn6,_nfn4,_nfn0,_lpmbiasp,_lp5,_lp4,_lp1,_lp0,_lnmbiasp,_lnmbiasn,_ln8,_ln6,_ln4,_ln0,fom,gdc,idd,gbw,pm,cload
4694,8.82E-6,9.46E-6,5.9E-6,1.2E-7,1.1E-6,1.32E-6,8.64E-6,4.38E-6,1.2E-7,3.36E-6,1.8E-7,16.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.34E-6,3.2E-7,6.0E-8,7.8E-7,1.8E-7,1.16E-6,1.06E-6,1.98E-6,1.92E-6,1.96E-6,1.16E-6,4708.6,52.085,9.279E-5,7.2819E7,64.669,6.999999999999999e-12
4695,8.64E-6,9.5E-6,7.42E-6,1.2E-7,1.02E-6,1.52E-6,8.02E-6,5.58E-6,1.2E-7,4.4E-6,5.4E-7,9.0,4.0,1.0,1.0,1.0,3.0,9.0,1.0,1.0,1.0,1.0,1.8E-6,3.0E-7,6.0E-8,5.6E-7,1.6E-7,1.6E-6,1.6E-6,1.02E-6,1.44E-6,1.8E-6,1.14E-6,3901.3,52.025,2.2214E-4,1.4444E8,64.024,6.999999999999999e-12
4696,7.64E-6,8.94E-6,6.88E-6,1.2E-7,1.26E-6,1.54E-6,8.14E-6,3.8E-6,1.2E-7,3.22E-6,1.2E-7,1.0,2.0,1.0,1.0,1.0,3.0,12.0,1.0,1.0,1.0,1.0,1.36E-6,2.4E-7,8.0E-8,8.8E-7,1.6E-7,1.66E-6,1.28E-6,1.56E-6,1.92E-6,2.0E-6,1.12E-6,4698.9,51.994,1.066E-4,8.348E7,60.646,6.999999999999999e-12
4697,7.74E-6,9.84E-6,6.18E-6,1.2E-7,1.66E-6,1.14E-6,8.72E-6,4.46E-6,1.2E-7,4.08E-6,1.2E-7,3.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.68E-6,3.2E-7,6.0E-8,6.6E-7,2.0E-7,1.66E-6,1.24E-6,1.96E-6,1.86E-6,1.88E-6,9.4E-7,4462.3,51.939,1.0104E-4,7.5146E7,60.973,6.999999999999999e-12
4698,9.28E-6,9.46E-6,7.08E-6,1.2E-7,9.8E-7,1.54E-6,7.96E-6,5.72E-6,1.2E-7,4.1E-6,2.6E-7,2.0,3.0,1.0,1.0,1.0,3.0,8.0,1.0,1.0,1.0,2.0,1.8E-6,2.4E-7,8.0E-8,7.0E-7,1.8E-7,9.6E-7,1.68E-6,9.8E-7,1.46E-6,2.0E-6,1.06E-6,3714.7,51.865,2.4923E-4,1.543E8,61.714,6.999999999999999e-12
4699,8.98E-6,8.28E-6,7.44E-6,1.2E-7,1.1E-6,1.42E-6,9.22E-6,5.7E-6,1.2E-7,2.88E-6,6.2E-7,5.0,4.0,1.0,1.0,1.0,8.0,9.0,1.0,1.0,1.0,1.0,1.88E-6,3.4E-7,6.0E-8,5.4E-7,1.8E-7,1.6E-6,1.6E-6,1.32E-6,1.44E-6,1.9E-6,1.2E-6,4339.5,51.852,1.8494E-4,1.3375E8,62.242,6.999999999999999e-12
4700,9.98E-6,7.14E-6,8.32E-6,1.2E-7,9.8E-7,1.44E-6,9.4E-6,4.3E-6,1.2E-7,4.5E-6,1.2E-7,2.0,2.0,1.0,1.0,1.0,1.0,13.0,1.0,1.0,1.0,2.0,1.7E-6,2.2E-7,1.0E-7,9.2E-7,2.2E-7,1.28E-6,1.22E-6,1.52E-6,1.82E-6,2.0E-6,1.08E-6,4702.0,51.852,1.1382E-4,8.9198E7,62.721,6.999999999999999e-12
4701,8.7E-6,7.38E-6,5.92E-6,1.2E-7,1.24E-6,1.48E-6,7.7E-6,4.16E-6,1.2E-7,4.28E-6,1.2E-7,1.0,3.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.46E-6,2.4E-7,1.0E-7,5.8E-7,1.6E-7,1.04E-6,1.48E-6,1.44E-6,1.4E-6,1.9E-6,5.2E-7,4235.4,51.83,1.361E-4,9.6075E7,68.925,6.999999999999999e-12
4702,9.84E-6,1.0E-5,7.92E-6,1.2E-7,1.0E-6,1.54E-6,7.98E-6,3.56E-6,1.2E-7,3.28E-6,1.2E-7,11.0,2.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,1.8E-6,2.4E-7,1.8E-7,7.4E-7,1.6E-7,1.32E-6,1.36E-6,1.04E-6,1.54E-6,1.98E-6,7.8E-7,5106.2,51.779,1.4235E-4,1.2114E8,65.381,6.999999999999999e-12
4703,9.22E-6,9.76E-6,6.66E-6,1.2E-7,1.26E-6,1.62E-6,8.4E-6,3.68E-6,1.2E-7,4.68E-6,1.2E-7,3.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.72E-6,2.6E-7,1.4E-7,8.0E-7,1.6E-7,1.34E-6,1.12E-6,1.18E-6,1.68E-6,1.96E-6,9.2E-7,4560.9,51.699,1.1003E-4,8.3637E7,64.676,6.999999999999999e-12
