Weights,Mean Performance Error
3.4839643021193196,0.36937814950942993
3.6409403745327977,0.3910979628562927
3.043131956216329,0.3034891188144684
1.3690764981198034,0.05648256465792656
0.13764037373047877,0.023109715431928635
1.185342014326463,0.043326519429683685
4.946847795864456,0.4984463155269623
1.7606443280829875,0.09297201037406921
1.4395166691894834,0.06318654865026474
1.0172031197672948,0.03640352934598923
0.3286677869781107,0.02343360148370266
0.04979641192060402,0.02325402945280075
0.17265138619634593,0.02310030534863472
2.2412013731033142,0.16783775389194489
0.54226125344448,0.025263631716370583
0.6660092861122946,0.027073007076978683
0.046276593072071215,0.023264091461896896
2.236578853950309,0.16690906882286072
4.563294452979458,0.48296135663986206
1.8150884218205428,0.10041352361440659
0.5991883390210724,0.02581769786775112
0.012883492143539677,0.023410867899656296
0.8182506711400883,0.03074568696320057
0.0067562516475065115,0.023433880880475044
0.3835217881665123,0.023748772218823433
0.9497369621670677,0.03445807099342346
1.7302923913115338,0.08949097990989685
0.3307403473878658,0.023442506790161133
2.7033596058100287,0.24600473046302795
3.2535941366733514,0.3362511694431305
3.8527981126629696,0.41831696033477783
0.39457282684426714,0.023824023082852364
0.06851301443963885,0.023220721632242203
0.8027676664346034,0.030358169227838516
0.11349312513482933,0.02311279997229576
1.274892836742834,0.04873295873403549
0.2486931404501863,0.023055890575051308
1.126121066052533,0.04056413844227791
1.514594110274393,0.0687880665063858
0.3049337916493087,0.023267380893230438
0.6292186233084279,0.026282595470547676
0.21655362757710347,0.023064875975251198
0.25395823733833744,0.02305653505027294
0.986346395405635,0.035594649612903595
0.2892027999391845,0.02314639464020729
0.5471805990982692,0.02531222626566887
0.8283695995212096,0.031001970171928406
0.22460001135933536,0.02304627187550068
0.4695902028021588,0.024436289444565773
0.7731448448140916,0.02968105860054493
