Weights,Mean Performance Error
0.1520041317283524,0.01750604622066021
3.4443827366525643,0.2663368284702301
3.386733332689212,0.26716727018356323
2.9226499026941433,0.2171780914068222
2.4353630145139995,0.17182816565036774
1.7358753467928005,0.1063731461763382
3.0583085236499494,0.23915088176727295
0.7589610492241814,0.03923966735601425
3.4282240880470014,0.2749733328819275
1.1566123631462832,0.0595429353415966
4.7846075555854455,0.37355515360832214
0.3107134933315783,0.021981386467814445
0.21515361940368727,0.01891537941992283
0.1757419559218274,0.01799515075981617
1.5137792676511914,0.08544228971004486
2.0276557437569322,0.12870648503303528
0.8049144179760178,0.04138966649770737
0.1470261904620591,0.01736394688487053
4.381305268735957,0.3439773917198181
0.8816202858236701,0.04566751420497894
1.229030170328055,0.06683073192834854
0.35118715927470223,0.023342274129390717
0.19303015308170526,0.01840083859860897
0.6671201611930622,0.0348970890045166
0.12142673528935821,0.01694299839437008
1.2293999183579594,0.06695276498794556
0.6254453339840285,0.03369469195604324
2.1115683737277346,0.1337345838546753
1.5236578522447146,0.08760952204465866
0.5174275446975687,0.028930649161338806
0.8225220798120688,0.04206596687436104
0.12089662116139795,0.01694672927260399
0.48145377021570923,0.02764406055212021
1.00139517526184,0.051966119557619095
4.1341315329436,0.3329821527004242
0.13264786939891238,0.016991525888442993
0.1213007773666769,0.01694335788488388
0.494659101322251,0.028249114751815796
2.5855892731088805,0.18796946108341217
1.0295553347082977,0.05530376359820366
0.11249838579583812,0.016767434775829315
0.4153807195992973,0.02586894854903221
0.1191755819996941,0.016917763277888298
0.6156897636375762,0.033303409814834595
0.38882200792638233,0.02486240305006504
0.10759489657233118,0.01672370918095112
1.5012107725279962,0.08462730050086975
0.6854047290692253,0.035794056951999664
0.40168507591483266,0.025319958105683327
1.0438214882226577,0.05494030937552452
